['brief', 3, 1, ['tarse', 'wizzo', 'brief'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 0]], [[0, 'w', -1], [1, 'i', 0], [2, 'z', -1], [3, 'z', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'e', 1], [4, 'f', 1]]]]
['brine', 3, 1, ['tarse', 'ahind', 'brine'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'a', -1], [1, 'h', -1], [2, 'i', 1], [3, 'n', 1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'n', 1], [4, 'e', 1]]]]
['bring', 3, 1, ['tarse', 'dykon', 'bring'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', -1], [3, 'o', -1], [4, 'n', 0]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'n', 1], [4, 'g', 1]]]]
['brink', 3, 1, ['tarse', 'dykon', 'brink'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', 0], [3, 'o', -1], [4, 'n', 0]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'n', 1], [4, 'k', 1]]]]
['briny', 3, 1, ['tarse', 'dykon', 'briny'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', 0], [2, 'k', -1], [3, 'o', -1], [4, 'n', 0]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 'n', 1], [4, 'y', 1]]]]
['brisk', 3, 1, ['tarse', 'wizzo', 'brisk'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', 1], [4, 'e', -1]], [[0, 'w', -1], [1, 'i', 0], [2, 'z', -1], [3, 'z', -1], [4, 'o', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'i', 1], [3, 's', 1], [4, 'k', 1]]]]
['broad', 3, 1, ['tarse', 'knowd', 'broad'], [[[0, 't', -1], [1, 'a', 0], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'k', -1], [1, 'n', -1], [2, 'o', 1], [3, 'w', -1], [4, 'd', 1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'a', 1], [4, 'd', 1]]]]
['broil', 3, 1, ['tarse', 'dykon', 'broil'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', -1], [1, 'y', -1], [2, 'k', -1], [3, 'o', 0], [4, 'n', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'i', 1], [4, 'l', 1]]]]
['broke', 3, 1, ['tarse', 'ahind', 'broke'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', 1]], [[0, 'a', -1], [1, 'h', -1], [2, 'i', -1], [3, 'n', -1], [4, 'd', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'k', 1], [4, 'e', 1]]]]
['brood', 3, 1, ['tarse', 'dykon', 'brood'], [[[0, 't', -1], [1, 'a', -1], [2, 'r', 0], [3, 's', -1], [4, 'e', -1]], [[0, 'd', 0], [1, 'y', -1], [2, 'k', -1], [3, 'o', 1], [4, 'n', -1]], [[0, 'b', 1], [1, 'r', 1], [2, 'o', 1], [3, 'o', 1], [4, 'd', 1]]]]
